Project,Version,Package Name,Type Name,Method Name,Smell,checker,File Path,SmellID,begin,end,disappear,gap
pig,0.13.0-rc0,pig.pig-release-0.13.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.13.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.13.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.13.0-rc0,0.13.0-rc0,0.13.0,1
pig,0.13.0-rc0,pig.pig-release-0.13.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.13.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.13.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.13.0-rc0,0.13.0-rc0,0.13.0,1
pig,0.13.0,pig.pig-release-0.13.0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.13.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.13.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.13.0,0.13.0,0.14.0-rc0,1
pig,0.13.0,pig.pig-release-0.13.0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.13.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.13.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.13.0,0.13.0,0.14.0-rc0,1
pig,0.14.0-rc0,pig.pig-release-0.14.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.14.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.14.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.14.0-rc0,0.14.0-rc0,0.14.0,1
pig,0.14.0-rc0,pig.pig-release-0.14.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.14.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.14.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.14.0-rc0,0.14.0-rc0,0.14.0,1
pig,0.14.0,pig.pig-release-0.14.0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.14.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.14.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.14.0,0.14.0,0.15.0-rc0,1
pig,0.14.0,pig.pig-release-0.14.0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.14.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.14.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.14.0,0.14.0,0.15.0-rc0,1
pig,0.15.0-rc0,pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.15.0-rc0,0.15.0-rc0,0.15.0,1
pig,0.15.0-rc0,pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,isValidPigObject,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.isValidPigObject.Complex Method",0.15.0-rc0,0.15.0-rc0,0.15.0,1
pig,0.15.0-rc0,pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.15.0-rc0,0.15.0-rc0,0.15.0,1
pig,0.15.0,pig.pig-release-0.15.0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.15.0,0.15.0,0.16.0-rc0,1
pig,0.15.0,pig.pig-release-0.15.0.test.org.apache.pig.builtin,TestAvroStorage,isValidPigObject,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.isValidPigObject.Complex Method",0.15.0,0.15.0,0.16.0-rc0,1
pig,0.15.0,pig.pig-release-0.15.0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.15.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.15.0,0.15.0,0.16.0-rc0,1
pig,0.16.0-rc0,pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.16.0-rc0,0.16.0-rc0,0.16.0,1
pig,0.16.0-rc0,pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,isValidPigObject,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.isValidPigObject.Complex Method",0.16.0-rc0,0.16.0-rc0,0.16.0,1
pig,0.16.0-rc0,pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.16.0-rc0,0.16.0-rc0,0.16.0,1
pig,0.16.0,pig.pig-release-0.16.0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.16.0,0.16.0,0.17.0-rc0,1
pig,0.16.0,pig.pig-release-0.16.0.test.org.apache.pig.builtin,TestAvroStorage,isValidPigObject,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.isValidPigObject.Complex Method",0.16.0,0.16.0,0.17.0-rc0,1
pig,0.16.0,pig.pig-release-0.16.0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.16.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.16.0,0.16.0,0.17.0-rc0,1
pig,0.17.0-rc0,pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.17.0-rc0,0.17.0-rc0,0.17.0,1
pig,0.17.0-rc0,pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,isValidPigObject,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.isValidPigObject.Complex Method",0.17.0-rc0,0.17.0-rc0,0.17.0,1
pig,0.17.0-rc0,pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin,TestAvroStorage,verifyResults,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0-rc0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.verifyResults.Complex Method",0.17.0-rc0,0.17.0-rc0,0.17.0,1
pig,0.17.0,pig.pig-release-0.17.0.test.org.apache.pig.builtin,TestAvroStorage,,God Class,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage..God Class",0.17.0,0.17.0,0.17.0,1
pig,0.17.0,pig.pig-release-0.17.0.test.org.apache.pig.builtin,TestAvroStorage,isValidPigObject,Complex Method,"pmd,experts","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java","Ambiguous: Type 'TestAvroStorage' found in 2 locations, none in package 'pig.pig-release-0.17.0.test.org.apache.pig.builtin'. Paths: test/org/apache/pig/builtin/TestAvroStorage.java; contrib/piggybank/java/src/test/java/org/apache/pig/piggybank/test/storage/avro/TestAvroStorage.java.TestAvroStorage.isValidPigObject.Complex Method",0.17.0,0.17.0,0.17.0,1
