file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/UnfilteredDeserializer.java,org.apache.cassandra.db.UnfilteredDeserializer$OldFormatDeserializer$AtomIterator,innerclass,5,5,0,5,13,1,0,3,9,0.6666667,0.6,0.6,7,0,5,2,0,0,5,0,0,0,3,0,0,3,0,0,1,0,0,44,6,0,2,1,0,0,0,7,0,4,2,0,0,0,27,2,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/batchlog/BatchlogManager.java,org.apache.cassandra.batchlog.BatchlogManager$ReplayingBatch$ReplayWriteResponseHandler,innerclass,4,4,0,4,4,2,0,7,1,0.33333334,0.33333334,0.33333334,3,0,1,0,1,1,3,0,0,0,1,0,0,1,0,0,1,0,3,15,1,0,1,0,0,0,0,2,0,2,0,0,0,0,33,10,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,org.apache.cassandra.io.sstable.format.SSTableReader$Factory,innerclass,7,7,0,7,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1033,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Deletion.java,org.apache.cassandra.thrift.Deletion$DeletionStandardSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/tools/stress/src/org/apache/cassandra/stress/operations/OpDistributionFactory.java,org.apache.cassandra.stress.operations.OpDistributionFactory,interface,3,6,3,3,3,1,0,0,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/LegacyLayout.java,org.apache.cassandra.db.LegacyLayout,class,60,71,11,60,178,1,0,182,666,0.98069495,0.0,0.0,37,36,26,11,0,0,26,0,0,0,7,7,6,1,0,0,7,0,60,1192,69,15,51,1,17,4,69,151,9,122,4,7,10,1,218,1025,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/gms/GossipDigestAck.java,org.apache.cassandra.gms.GossipDigestAckSerializer,class,7,8,1,7,6,1,0,14,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28,2,3,0,0,0,0,1,10,1,8,1,0,0,0,28,0,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/tools/nodetool/TruncateHints.java,org.apache.cassandra.tools.nodetool.TruncateHints,class,4,4,0,4,2,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,4,0,1,0,1,1,0,0,0,30,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/service/pager/PagingState.java,org.apache.cassandra.service.pager.PagingState,class,5,13,8,5,27,1,0,19,0,0.071428575,0.71428573,0.71428573,7,1,7,0,0,0,7,0,2,0,4,0,4,0,0,0,4,0,4,127,9,0,11,2,1,2,2,19,2,15,2,0,1,0,49,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/test/unit/org/apache/cassandra/db/marshal/CollectionTypeTest.java,org.apache.cassandra.db.marshal.CollectionTypeTest,class,9,10,1,9,17,1,0,17,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,115,0,9,0,1,0,43,24,35,7,35,2,4,0,0,51,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/tools/stress/src/org/apache/cassandra/stress/Operation.java,org.apache.cassandra.stress.Operation$RunOp,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/cql3/selection/Selectable.java,org.apache.cassandra.cql3.selection.Selectable$WithFunction,innerclass,12,12,0,12,6,2,0,12,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,2,0,5,39,2,0,2,0,0,5,0,5,0,4,1,0,1,0,28,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/io/sstable/format/SSTableReader.java,org.apache.cassandra.io.sstable.format.SSTableReader$Operator$GreaterThan,innerclass,1,1,0,1,2,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,5,24,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$execute_prepared_cql3_query_args,innerclass,15,15,0,15,100,3,0,48,274,0.88206387,0.2882883,0.4894895,37,0,35,2,0,0,37,0,0,0,11,7,4,7,0,0,7,0,6,473,40,0,22,2,7,18,16,53,2,26,2,0,5,0,162,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$AsyncProcessor$set_cql_version,innerclass,6,6,0,6,5,1,0,1,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,0,0,0,1,0,1,0,1,0,1,0,0,24,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexClause.java,org.apache.cassandra.thrift.IndexClause$IndexClauseStandardSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/cql3/Lists.java,org.apache.cassandra.cql3.Lists$SetterByIndex,innerclass,10,10,0,10,11,2,0,14,0,0.25,0.5,0.5,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,2,33,1,0,5,0,0,5,2,7,0,7,1,0,0,0,56,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/transport/Event.java,org.apache.cassandra.transport.Event$SchemaChange,innerclass,6,6,0,6,37,2,0,20,0,0.11111112,0.7777778,0.7777778,9,1,9,0,0,0,9,0,0,0,5,0,5,0,0,0,5,0,47,115,13,1,17,0,1,8,7,18,6,16,3,0,2,0,54,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/index/internal/CassandraIndexFunctions.java,org.apache.cassandra.index.internal.CassandraIndexFunctions$Anonymous5,anonymous,7,7,0,7,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,17,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$describe_splits_result,innerclass,14,14,0,14,79,3,0,36,194,0.87053573,0.3044355,0.38508064,32,0,30,2,0,0,32,0,0,0,7,5,3,4,0,0,5,0,4,401,31,0,16,2,6,12,9,36,0,19,2,0,5,0,147,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/index/internal/CassandraIndexFunctions.java,org.apache.cassandra.index.internal.CassandraIndexFunctions$Anonymous6,anonymous,9,9,0,9,4,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,0,0,2,1,0,0,0,0,1,0,0,0,27,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/index/internal/CassandraIndexFunctions.java,org.apache.cassandra.index.internal.CassandraIndexFunctions$Anonymous7,anonymous,7,7,0,7,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,18,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/index/internal/CassandraIndexFunctions.java,org.apache.cassandra.index.internal.CassandraIndexFunctions$Anonymous1,anonymous,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/index/internal/CassandraIndexFunctions.java,org.apache.cassandra.index.internal.CassandraIndexFunctions$Anonymous2,anonymous,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/index/internal/CassandraIndexFunctions.java,org.apache.cassandra.index.internal.CassandraIndexFunctions$Anonymous3,anonymous,7,7,0,7,4,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,2,2,0,0,0,0,2,5,1,5,1,0,0,0,23,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$Processor$cas,innerclass,5,5,0,5,7,1,0,1,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,1,0,1,0,5,0,1,1,0,0,0,22,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/ClusteringPrefix.java,org.apache.cassandra.db.ClusteringPrefix$Deserializer,innerclass,10,10,0,10,30,1,0,18,0,0.5925926,0.8,1.0,9,0,6,3,0,0,6,0,0,0,9,0,0,9,0,0,3,0,5,71,12,4,9,0,3,1,8,20,3,15,2,0,0,0,100,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/index/internal/CassandraIndexFunctions.java,org.apache.cassandra.index.internal.CassandraIndexFunctions$Anonymous4,anonymous,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/tools/NodeProbe.java,org.apache.cassandra.tools.NodeProbe$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/io/sstable/format/SSTableWriter.java,org.apache.cassandra.io.sstable.format.SSTableWriter$TransactionalProxy,innerclass,2,2,0,2,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1028,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$Processor$multiget_count,innerclass,5,5,0,5,7,1,0,1,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,1,0,1,0,5,0,1,1,0,0,0,23,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/commitlog/MemoryMappedSegment.java,org.apache.cassandra.db.commitlog.MemoryMappedSegment,class,6,7,1,6,10,2,0,15,10,0.0,0.0,0.0,5,0,1,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,2,44,2,0,0,3,0,1,8,2,4,2,2,0,0,0,61,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/metrics/DroppedMessageMetrics.java,org.apache.cassandra.metrics.DroppedMessageMetrics,class,6,6,0,6,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,3,0,0,11,0,0,0,0,0,4,0,4,0,4,0,0,0,0,24,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/utils/concurrent/Ref.java,org.apache.cassandra.utils.concurrent.Ref$Debug,innerclass,1,1,0,1,6,1,0,8,2,0.5,0.33333334,0.5,4,0,0,0,0,4,4,0,0,2,2,0,0,0,0,2,0,0,2,29,1,1,1,0,0,5,0,7,0,7,1,0,0,0,17,24,2
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/test/unit/org/apache/cassandra/metrics/LatencyMetricsTest.java,org.apache.cassandra.metrics.LatencyMetricsTest$Anonymous1,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,3,1,0,1,1,0,0,0,2,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/cql3/CFName.java,org.apache.cassandra.cql3.CFName,class,1,22,21,1,3,2,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,12,2,0,0,0,0,0,0,1,1,1,0,0,0,0,15,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/exceptions/ConfigurationException.java,org.apache.cassandra.exceptions.ConfigurationException,class,2,20,18,2,4,6,1,0,0,0.0,1.0,1.0,4,0,3,0,1,0,4,0,0,0,1,0,1,0,0,0,1,0,0,19,0,0,0,0,0,0,0,4,0,1,0,0,0,0,12,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/MutationVerbHandler.java,org.apache.cassandra.db.MutationVerbHandler,class,9,10,1,9,8,1,0,15,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,35,0,1,2,2,0,3,1,10,0,9,2,0,0,0,50,1,3
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/test/unit/org/apache/cassandra/service/ActiveRepairServiceTest.java,org.apache.cassandra.service.ActiveRepairServiceTest,class,9,10,1,9,18,1,0,43,0,0.8333333,0.5833333,0.5833333,9,1,8,0,0,1,9,0,0,0,7,3,6,1,0,0,3,0,12,112,1,8,0,0,0,6,10,39,7,39,1,0,0,0,77,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$AsyncProcessor$execute_cql3_query$Anonymous40,anonymous,7,7,0,7,8,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,2,0,2,0,14,0,4,1,0,0,0,27,-1,2
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/io/util/SequentialWriter.java,org.apache.cassandra.io.util.SequentialWriter$TransactionalProxy,innerclass,3,3,0,3,7,2,0,4,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,29,3,0,1,2,0,0,0,3,0,0,2,0,0,0,17,4,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$AsyncProcessor$describe_keyspace,innerclass,7,7,0,7,5,1,0,1,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,59,3,0,0,0,0,1,0,1,0,1,0,1,0,0,23,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/utils/ChecksumType.java,org.apache.cassandra.utils.ChecksumType$Anonymous1,anonymous,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/utils/ChecksumType.java,org.apache.cassandra.utils.ChecksumType$Anonymous2,anonymous,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/Mutation.java,org.apache.cassandra.db.Mutation$MutationSerializer,innerclass,11,11,0,11,16,1,0,26,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,55,4,3,1,0,0,0,5,17,1,9,1,0,0,0,31,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/BlacklistedDirectoriesMBean.java,org.apache.cassandra.db.BlacklistedDirectoriesMBean,interface,0,1,1,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/RangeTombstone.java,org.apache.cassandra.db.RangeTombstone$Bound$Serializer,innerclass,6,6,0,6,5,1,0,13,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,1,0,0,0,2,3,1,3,1,0,0,0,21,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/dht/LocalPartitioner.java,org.apache.cassandra.dht.LocalPartitioner$LocalToken,innerclass,5,5,0,5,10,3,0,7,21,1.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,1,0,0,0,1,1,0,0,29,8,0,2,0,2,0,2,3,2,3,1,0,0,0,39,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/utils/BiMultiValMap.java,org.apache.cassandra.utils.BiMultiValMap,class,4,6,2,4,21,1,0,25,0,0.33333334,0.73202616,0.8888889,18,0,17,0,1,0,18,0,0,0,2,0,0,0,2,0,2,0,0,70,13,2,1,0,0,0,0,7,0,5,1,0,0,0,52,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/cql3/ColumnIdentifier.java,org.apache.cassandra.cql3.ColumnIdentifier$Raw,interface,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/tools/stress/src/org/apache/cassandra/stress/settings/SettingsNode.java,org.apache.cassandra.stress.settings.SettingsNode,class,7,14,7,7,26,2,0,30,14,0.625,0.25,0.35714287,8,3,8,0,0,0,8,0,0,0,2,0,2,0,0,0,2,0,9,101,7,5,3,4,2,4,3,13,2,11,5,1,1,0,55,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/cql3/functions/AggregateFcts.java,org.apache.cassandra.cql3.functions.AggregateFcts$Anonymous1$Anonymous2,anonymous,2,2,0,2,3,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,1,0,1,1,0,1,0,0,0,0,13,-1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,org.apache.cassandra.thrift.Cassandra$AsyncProcessor$multiget_count$Anonymous7,anonymous,5,5,0,5,7,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,2,0,2,0,12,0,4,1,0,0,0,22,-1,2
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/src/java/org/apache/cassandra/db/filter/ClusteringIndexSliceFilter.java,org.apache.cassandra.db.filter.ClusteringIndexSliceFilter,class,19,24,5,19,25,3,0,27,0,0.53125,0.875,0.875,16,0,14,0,2,0,16,0,0,0,2,1,0,1,0,1,2,0,1,79,16,0,3,0,0,1,4,7,1,7,1,0,2,0,79,1,0
/model/lxj/actionableCS/cassandra/cassandra-cassandra-3.2/interface/thrift/gen-java/org/apache/cassandra/thrift/KeySlice.java,org.apache.cassandra.thrift.KeySlice$KeySliceTupleSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0
