Instance ID,LLM4ACSD,Expert1,Expert2,Expert3,Expert4,Expert5
110,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
111,Actionable,Highly Recommended,Optional,Optional,Optional,Optional
112,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
113,Actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Highly Recommended
114,Non-actionable,Optional,Highly Recommended,Optional,Optional,Highly Recommended
115,Non-actionable,Optional,Optional,Optional,Not Necessary,Not Necessary
116,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
117,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
118,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
119,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
120,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
121,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
122,Actionable,Highly Recommended,Not Necessary,Not Necessary,Not Necessary,Not Necessary
123,Non-actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
124,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
125,Non-actionable,Optional,Optional,Optional,Optional,Optional
126,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
127,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
128,Non-actionable,Not Necessary,Optional,Not Necessary,Optional,Optional
129,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
130,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
131,Non-actionable,Optional,Highly Recommended,Optional,Highly Recommended,Highly Recommended
132,Actionable,Optional,Optional,Optional,Optional,Highly Recommended
133,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
134,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
135,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
136,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
137,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
138,Non-actionable,Optional,Optional,Optional,Optional,Optional
139,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
140,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
141,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
142,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
143,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
144,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
145,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
146,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Optional,Not Necessary
147,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
148,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Highly Recommended,Highly Recommended
149,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
150,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
151,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
152,Non-actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
153,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
154,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
155,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
156,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
157,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
158,Actionable,Not Necessary,Not Necessary,Not Necessary,Highly Recommended,Not Necessary
159,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
160,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
161,Actionable,Optional,Optional,Optional,Highly Recommended,Optional
162,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
163,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
164,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
165,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
166,Non-actionable,Highly Recommended,Highly Recommended,Optional,Optional,Highly Recommended
167,Non-actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
168,Non-actionable,Highly Recommended,Optional,Optional,Optional,Highly Recommended
169,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
170,Non-actionable,Not Necessary,Highly Recommended,Not Necessary,Not Necessary,Highly Recommended
171,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
172,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
173,Non-actionable,Optional,Optional,Optional,Optional,Optional
174,Actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Highly Recommended
175,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
176,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
177,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
178,Actionable,Optional,Optional,Optional,Optional,Highly Recommended
179,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
180,Actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Highly Recommended
181,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
182,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
183,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
184,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
185,Actionable,Not Necessary,Not Necessary,Highly Recommended,Not Necessary,Not Necessary
186,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
187,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
188,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
189,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
190,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Optional,Not Necessary
191,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
192,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
193,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
194,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
195,Actionable,Highly Recommended,Optional,Not Necessary,Optional,Optional
196,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
197,Actionable,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended,Highly Recommended
198,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
199,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
200,Non-actionable,Not Necessary,Not Necessary,Not Necessary,Not Necessary,Not Necessary
